Процесс;Модуль;Функционал;Дополнительный функционал (add-on) - для информации, в базовый расчет включено не будет);;;
;Диагностика цепочек поставок;"- Автоматический анализ предложений по заказам и складских данных для выявления основных причин дефицита и порчи товара
- Причины дефицита и порчи в магазинах
- Причины нехватки на РЦ
- Причины перезатарки на РЦ и магазинах
- Наглядные представления пользовательского интерфейса для отображения кодов причин дефицита и порчи и их относительной важности на любом агрегированном уровне
- Представление информации на географической карте в дешбордах
- Переход от целевых дешбордов пополнения запасов к показателям кодов причин";;;;
Промо;"Планирование, оптимизация 
и оценка";"Используйте Evaluate для измерения комплексных эффектов, определяющих эффективность продвижения: базового прогноза, каннибализации, накопления и галло.
Используйте Evaluate для фильтрации лучших и худших рекламных акций, как для прошлых, так и для планируемых кампаний.
Использовать Plan для координации сложных межфункциональных процессов планирования и персонала.
Используйте рекомендации Plan, рабочие процессы утверждения и бизнес-правила, чтобы гарантировать, что каждая акция будет подготовлена к успеху.
Используйте Optimize для получения рекомендаций о том, какие продукты следует продвигать на той или иной неделе в зависимости от поставленной цели.
Использовать Optimize для определения оптимальной глубины скидки для максимизации продаж и прибыли";;;;
;Планирование каналов оптовой торговли для дистрибуторов;Прогнозирование каналов - повышает точность и детализацию прогнозирования при пополнении запасов и планировании цепочек поставок, что способствует повышению доступности и оборачиваемости, улучшению обслуживания и оптимальной стоимости запасов.;;;;
;True Inventory;"- Создание и поддержание постоянных складов на основе POS-транзакций в случае отсутствия данных о балансе: Обеспечивает использование технологии заказа пополнения запасов, особенно для некоторых свежих продуктов, где данные о запасах могут отсутствовать
- Обнаружение аномалий в инвентаризации и составление приоритетного списка действий (может быть отправлен в RELEX Mobile Pro или другой инструмент):
- Повышение производительности труда персонала магазина
- Автоматизированная корректировка остатков: Повышение точности инвентаризации и снижение потребности в инвентаризации за счет автоматизации корректировки баланса для выбранных «Предложений по проверке аномалий в инвентаризации».
- Управление циклическим подсчетом: Консолидация всех действий по подсчету запасов в одной системе. ";;;;
;Управление магазином;"Мобильное пополнение запасов:
- Удобные для мобильных устройств и интуитивно понятные инструменты - обеспечивают легкое внедрение и освоение инструментов, повышают удовлетворенность сотрудников магазинов и делают сотрудничество между магазинами и центральными командами более эффективным. 
- Конфигурируемые и настраиваемые приборные панели и представления - обеспечивают адаптацию инструментов к бизнесу без нарушения существующих методов работы. 
- Доступ к данным, связанным с пополнением запасов, исключениям, комментариям и KPI, и их настройка - улучшает видимость процесса пополнения запасов для сотрудников магазина и гарантирует, что опыт и знания сотрудников будут использованы в полной мере для достижения максимальной эффективности планирования запасов.

Mobile Pro:
- Просмотр и изменение заказов - использование предложенных сумм пополнения (с помощью RELEX) и возможность легкого внесения изменений пользователями и обновлениями данных о запасах.
- Создание специальных заказов - возможность создавать заказы для удовлетворения непредвиденных потребностей.
- Сканирование и поиск товаров - мгновенный доступ к данным о конкретном товаре в магазине, когда это необходимо
- Панели KPI, включая показатели продаж за последние семь дней - наглядное и актуальное представление о показателях работы магазина
- Остатки, подсчет и обновление запасов - интуитивно понятный процесс проверки остатков и внесения необходимых корректировок (RELEX определяет потребности в корректировках как исключения). 
- Оповещение с последующими действиями - позволяет сотрудникам магазина получать целенаправленные оповещения для выполнения конкретных действий, например, проведения инвентаризации на линиях, которые были определены RELEX как имеющие неправильные оценки запасов.";;;;
;Сотрудничество с поставщиками;"Для предприятий розничной торговли: 
- Мониторинг работы поставщиков - обеспечение более надежных и своевременных поставок, а также заблаговременное выявление и устранение исключений в поставках, таких как риски нехватки.
- Постоянная и актуальная информация о наличии, ограничениях и сроках поставки, предоставляемая поставщиком

Для CPG: 
- Доступ к общим данным о кассовых аппаратах - возможность оценить спрос на новые продукты и рекламные акции.
- Доступ к общему прогнозу спроса и заказов, а также к информации о бизнес-решениях ритейлера, таких как промоакции, изменение цен и ассортимента - повышение точности прогнозирования и планирования для CPG.";;;;
;Прогнозирование рабочей нагрузки;"- Прогнозы на основе искусственного интеллекта, включающие не только данные о продажах и клиентах, но и объемы поставок, необходимые для планирования работ по пополнению запасов в магазинах и РЦ 
- Управление цепочкой поставок и ресурсами магазинов может осуществляться на основе одних и тех же данных и прогнозов.
- Клиенты могут контролировать последствия своих решений по оптимизации цепочки поставок/пополнению запасов. 
- Прогнозирование для различных задач, специфичных для розничной торговли, как для магазинов, так и для центров обслуживания клиентов 
- Видимость будущего спроса на рабочую силу с интервалом от 15 минут и горизонтом планирования до 12 месяцев";;;;
;Комплект конфигурации;"- Business Rules Engine Lite - Позволяет быстро и легко адаптировать существующие рабочие процессы к потребностям пользователя без участия РЕЛЭКС
- Dashboard Builder - Меньше времени и денег на создание новых и настройку существующих приборных панелей";;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
